"","qID","cluster.0_support.no","cluster.1_support.no","cluster.2_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes","cluster.2_support.yes"
"cluster-0_support-no",1,0,0.577200338218027,0.669295251679436,0.438302018321144,0.721974600947157,0.252352198699636,0.643401480856314
"cluster-1_support-no",1,0.577200338218027,0,0.500400532682661,0.4263574496298,0.540564723205316,0.591685756530185,0.293506131089571
"cluster-2_support-no",1,0.669295251679436,0.500400532682661,0,0.322291553093131,0.19620399418075,0.655491988252669,0.525206197719545
"cluster-0_support-neutral",1,0.438302018321144,0.4263574496298,0.322291553093131,0,0.343057582148897,0.419591691999786,0.424532136381735
"cluster-0_support-yes",1,0.721974600947157,0.540564723205316,0.19620399418075,0.343057582148897,0,0.671642614502734,0.472702435471928
"cluster-1_support-yes",1,0.252352198699636,0.591685756530185,0.655491988252669,0.419591691999786,0.671642614502734,0,0.598311922434267
"cluster-2_support-yes",1,0.643401480856314,0.293506131089571,0.525206197719545,0.424532136381735,0.472702435471928,0.598311922434267,0
"cluster-0_support-no1",2,0,0.642165597550414,0.660885921408594,0.326601262531082,0.600672289630934,0.237517145834106,0.308855735664983
"cluster-1_support-no1",2,0.642165597550414,0,0.389694822445586,0.415556967953621,0.404592469743206,0.750783206745309,0.608368605349207
"cluster-2_support-no1",2,0.660885921408594,0.389694822445586,0,0.445436339893575,0.196984759006473,0.717970839349209,0.689907789255867
"cluster-0_support-neutral1",2,0.326601262531082,0.415556967953621,0.445436339893575,0,0.404389203731427,0.444068090819716,0.332298058269331
"cluster-0_support-yes1",2,0.600672289630934,0.404592469743206,0.196984759006473,0.404389203731427,0,0.677876466173076,0.667819177919781
"cluster-1_support-yes1",2,0.237517145834106,0.750783206745309,0.717970839349209,0.444068090819716,0.677876466173076,0,0.410134499148118
"cluster-2_support-yes1",2,0.308855735664983,0.608368605349207,0.689907789255867,0.332298058269331,0.667819177919781,0.410134499148118,0
"cluster-0_support-no2",3,0,0.764015927584312,0.673863034319316,0.460395348783749,0.491174548380128,0.749771109113828,0.601764313417889
"cluster-1_support-no2",3,0.764015927584312,0,0.403991292276621,0.391927148860046,0.53659944593314,0.275637328498966,1.18391418995406
"cluster-2_support-no2",3,0.673863034319316,0.403991292276621,0,0.378705548213936,0.379370983787712,0.254177767598592,1.10745576925679
"cluster-0_support-neutral2",3,0.460395348783749,0.391927148860046,0.378705548213936,0,0.287667395295239,0.370812370071946,0.885055661544896
"cluster-0_support-yes2",3,0.491174548380128,0.53659944593314,0.379370983787712,0.287667395295239,0,0.418608690008234,0.925491374757939
"cluster-1_support-yes2",3,0.749771109113828,0.275637328498966,0.254177767598592,0.370812370071946,0.418608690008234,0,1.15756877091108
"cluster-2_support-yes2",3,0.601764313417889,1.18391418995406,1.10745576925679,0.885055661544896,0.925491374757939,1.15756877091108,0
"cluster-0_support-no3",4,0,0.580505052753016,0.650963943763596,0.41001679716178,0.695578919750406,0.62763077478318,0.201889265218346
"cluster-1_support-no3",4,0.580505052753016,0,0.38231063536124,0.437487569358343,0.38904913126323,0.527149609417792,0.627436642334148
"cluster-2_support-no3",4,0.650963943763596,0.38231063536124,0,0.367248299562722,0.160312995594335,0.29160894224786,0.707174631586092
"cluster-0_support-neutral3",4,0.41001679716178,0.437487569358343,0.367248299562722,0,0.432016885778728,0.366414657803778,0.484996617793588
"cluster-0_support-yes3",4,0.695578919750406,0.38904913126323,0.160312995594335,0.432016885778728,0,0.382157639553349,0.719424324219932
