"","qID","cluster.0_support.no","cluster.1_support.no","cluster.2_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes","cluster.2_support.yes"
"cluster-1_support-yes3",4,0.62763077478318,0.527149609417792,0.29160894224786,0.366414657803778,0.382157639553349,0,0.696724103765689
"cluster-2_support-yes3",4,0.201889265218346,0.627436642334148,0.707174631586092,0.484996617793588,0.719424324219932,0.696724103765689,0
"cluster-0_support-no4",5,0,0.524328638005675,0.555805814214717,0.395967902915977,0.460675870434969,0.26618067685176,0.253526926388243
"cluster-1_support-no4",5,0.524328638005675,0,0.498933349767878,0.391744750153559,0.347929115017904,0.647558251693894,0.561691795821266
"cluster-2_support-no4",5,0.555805814214717,0.498933349767878,0,0.251266783373646,0.299499700613282,0.650525295723581,0.540137597880561
"cluster-0_support-neutral4",5,0.395967902915977,0.391744750153559,0.251266783373646,0,0.252185055988952,0.526419008626871,0.393329098552328
"cluster-0_support-yes4",5,0.460675870434969,0.347929115017904,0.299499700613282,0.252185055988952,0,0.565016657444303,0.521927392161632
"cluster-1_support-yes4",5,0.26618067685176,0.647558251693894,0.650525295723581,0.526419008626871,0.565016657444303,0,0.405495602454109
"cluster-2_support-yes4",5,0.253526926388243,0.561691795821266,0.540137597880561,0.393329098552328,0.521927392161632,0.405495602454109,0
"cluster-0_support-no5",6,0,0.6014445034683,0.434420660958819,0.461387047619126,0.673947680745576,0.227708175062598,0.519622004075411
"cluster-1_support-no5",6,0.6014445034683,0,0.623677158134075,0.478762508346337,0.317687831270675,0.616336326097621,0.698098473386412
"cluster-2_support-no5",6,0.434420660958819,0.623677158134075,0,0.334180256898363,0.547503909829465,0.310504742037389,0.24563192207039
"cluster-0_support-neutral5",6,0.461387047619126,0.478762508346337,0.334180256898363,0,0.413524370497256,0.376426236542266,0.380936168963436
"cluster-0_support-yes5",6,0.673947680745576,0.317687831270675,0.547503909829465,0.413524370497256,0,0.613223152078608,0.600520774418696
"cluster-1_support-yes5",6,0.227708175062598,0.616336326097621,0.310504742037389,0.376426236542266,0.613223152078608,0,0.4101480636554
"cluster-2_support-yes5",6,0.519622004075411,0.698098473386412,0.24563192207039,0.380936168963436,0.600520774418696,0.4101480636554,0
"cluster-0_support-no6",7,0,0.596607742479294,0.534234626864119,0.477254853967012,0.193298342020602,0.586838066503936,0.527115416666213
"cluster-1_support-no6",7,0.596607742479294,0,0.538292792606059,0.302012289016621,0.632250114249908,0.163528368140573,0.531452492674819
"cluster-2_support-no6",7,0.534234626864119,0.538292792606059,0,0.399912296767162,0.453622756107447,0.546708280360756,0.175772774605893
"cluster-0_support-neutral6",7,0.477254853967012,0.302012289016621,0.399912296767162,0,0.469507221077154,0.277838432459969,0.368348087182703
"cluster-0_support-yes6",7,0.193298342020602,0.632250114249908,0.453622756107447,0.469507221077154,0,0.612497405242139,0.473200746788086
"cluster-1_support-yes6",7,0.586838066503936,0.163528368140573,0.546708280360756,0.277838432459969,0.612497405242139,0,0.522549660126399
"cluster-2_support-yes6",7,0.527115416666213,0.531452492674819,0.175772774605893,0.368348087182703,0.473200746788086,0.522549660126399,0
"cluster-0_support-no7",8,0,0.431542491410725,0.462774929790577,0.402205808487721,0.446815038351362,0.200859845197109,1.01137954524545
"cluster-1_support-no7",8,0.431542491410725,0,0.539388507119761,0.389218379498982,0.124370161461912,0.420074124490433,1.0497317368639
"cluster-2_support-no7",8,0.462774929790577,0.539388507119761,0,0.302926279106918,0.544460976906011,0.374886141007501,0.718707018382012
"cluster-0_support-neutral7",8,0.402205808487721,0.389218379498982,0.302926279106918,0,0.373132594903914,0.292833139495872,0.756897386316847
"cluster-0_support-yes7",8,0.446815038351362,0.124370161461912,0.544460976906011,0.373132594903914,0,0.403972852249248,1.03418593352882
"cluster-1_support-yes7",8,0.200859845197109,0.420074124490433,0.374886141007501,0.292833139495872,0.403972852249248,0,0.922054524315919
"cluster-2_support-yes7",8,1.01137954524545,1.0497317368639,0.718707018382012,0.756897386316847,1.03418593352882,0.922054524315919,0
