"","qID","cluster.0_support.no","cluster.1_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes"
"cluster-0_support-no",9,0,0.647689681936969,0.336620224771096,0.192029762213608,1.07808800409243
"cluster-1_support-no",9,0.647689681936969,0,0.405151917112847,0.611165670810904,0.565969895206534
"cluster-0_support-neutral",9,0.336620224771096,0.405151917112847,0,0.301347974924315,0.82361581801088
"cluster-0_support-yes",9,0.192029762213608,0.611165670810904,0.301347974924315,0,1.02878433002792
"cluster-1_support-yes",9,1.07808800409243,0.565969895206534,0.82361581801088,1.02878433002792,0
"cluster-0_support-no1",10,0,0.588221411042941,0.35920195329255,0.179581909736285,0.652182343101683
"cluster-1_support-no1",10,0.588221411042941,0,0.387636649588441,0.628414416352975,0.193509503502356
"cluster-0_support-neutral1",10,0.35920195329255,0.387636649588441,0,0.370897539605723,0.46192987027207
"cluster-0_support-yes1",10,0.179581909736285,0.628414416352975,0.370897539605723,0,0.675199324378862
"cluster-1_support-yes1",10,0.652182343101683,0.193509503502356,0.46192987027207,0.675199324378862,0
